,timestamp,c,curr_phase,or1,or2,or3,or4,ol1,ol2,ol3,ol4,oPE,oPOG,lidarStatus,_logDuration,_logError
0,1653058940.4162023,0,99,9998,9998,9998,9998,9998,9998,9998,9998,99,99,,9998.0,9998
1,1653058940.516586,0,99,9998,9998,9998,9998,9998,9998,9998,9998,99,99,,9998.0,9998
2,1653058940.6172938,0,99,9998,9998,9998,9998,9998,9998,9998,9998,99,99,,9998.0,9998
3,1653058940.7177134,0,99,9998,9998,9998,9998,9998,9998,9998,9998,99,99,,9998.0,9998
4,1653058940.818126,0,99,9998,9998,9998,9998,9998,9998,9998,9998,99,99,,9998.0,9998
5,1653058940.918541,0,99,9998,9998,9998,9998,9998,9998,9998,9998,99,99,,9998.0,9998
6,1653058941.0189548,0,99,9998,9998,9998,9998,9998,9998,9998,9998,99,99,,9998.0,9998
7,1653058941.1193645,0,99,9998,9998,9998,9998,9998,9998,9998,9998,99,99,,9998.0,9998
8,1653058941.219824,0,99,9998,9998,9998,9998,9998,9998,9998,9998,99,99,,9998.0,9998
9,1653058941.3202186,0,99,9998,9998,9998,9998,9998,9998,9998,9998,99,99,,9998.0,9998
10,1653058941.4231713,0,99,9998,9998,9998,9998,9998,9998,9998,9998,99,99,,9998.0,9998
11,1653058941.524572,0,99,1967,1944,1928,9998,9998,3367,3387,3409,1,1,normal,9998.0,9998
12,1653058941.626952,0,99,1968,1944,1928,9998,9998,3367,3389,3409,1,1,normal,9998.0,9998
13,1653058941.7339458,0,99,1968,1944,1928,9998,9998,3370,3389,3409,1,1,normal,9998.0,9998
14,1653058941.834711,0,99,1968,1944,1928,9998,9998,3370,3389,3409,1,1,normal,9998.0,9998
15,1653058941.9354718,0,99,1968,1942,1928,9998,9998,3370,3389,3409,1,1,normal,9998.0,9998
16,1653058942.0368824,0,99,1968,1942,1928,9998,9998,3370,3389,3409,1,1,normal,9998.0,9998
17,1653058942.1376455,0,99,1968,1942,1928,9998,9998,3370,3389,3407,1,1,normal,9998.0,9998
18,1653058942.238786,0,99,1968,1942,1928,9998,9998,3370,3389,3407,1,1,normal,9998.0,9998
19,1653058942.344509,0,99,1968,1945,1928,9998,9998,3370,3389,3409,1,1,normal,9998.0,9998
20,1653058942.447673,0,99,1968,1945,1928,9998,9998,3370,3389,3407,1,1,normal,9998.0,9998
21,1653058942.5490348,1,99,1968,1945,1928,9998,9998,3370,3389,3407,1,1,normal,9998.0,9998
22,1653058942.6495752,1,99,1968,1945,1929,9998,9998,3370,3389,3407,1,1,normal,9998.0,9998
23,1653058942.7503152,1,99,1968,1945,1929,9998,9998,3370,3389,3407,1,1,normal,9998.0,9998
24,1653058942.8515866,1,99,1968,1945,1929,9998,9998,3368,3389,3407,1,1,normal,9998.0,9998
25,1653058942.9520042,1,99,1968,1940,1929,9998,9998,3368,3389,3410,1,1,normal,9998.0,9998
26,1653058943.052417,1,99,1968,1940,1929,9998,9998,3370,3389,3410,1,1,normal,9998.0,9998
27,1653058943.1547036,1,99,1968,1940,1929,128,9998,3370,3389,3408,1,1,normal,9998.0,9998
28,1653058943.255823,1,99,1968,1937,1926,128,9998,3370,3389,3408,1,1,normal,9998.0,9998
29,1653058943.356995,1,99,1968,1937,1926,128,9998,3370,3389,3408,1,1,normal,9998.0,9998
30,1653058943.457723,1,99,1965,1937,1926,128,9998,3370,3389,3408,1,1,normal,9998.0,9998
31,1653058943.5613923,1,99,1965,1937,1926,128,9998,3370,3389,3408,1,1,normal,9998.0,9998
32,1653058943.662253,1,99,1965,1937,1926,128,9998,3370,3389,3408,1,1,normal,9998.0,9998
33,1653058943.7630866,1,99,1965,1937,1926,128,9998,3370,3389,3408,1,1,normal,9998.0,9998
34,1653058943.8643415,1,99,1965,1941,1926,128,9998,3370,3389,3408,1,1,normal,9998.0,9998
35,1653058943.9648504,1,99,1965,1941,1926,128,9998,3370,3389,3406,1,1,normal,9998.0,9998
36,1653058944.0658476,1,99,1966,1941,1926,128,9998,3370,3389,3406,1,1,normal,9998.0,9998
37,1653058944.167974,1,99,1966,1941,1926,128,9998,3370,3389,3406,1,1,normal,9998.0,9998
38,1653058944.2691565,1,99,1966,1941,1927,128,9998,3370,3389,3407,1,1,normal,9998.0,9998
39,1653058944.3699088,1,99,1966,1941,1927,128,9998,3370,3389,3407,1,1,normal,9998.0,9998
40,1653058944.4711971,1,99,1968,1941,1927,128,9998,3370,3389,3407,1,1,normal,9998.0,9998
41,1653058944.5721686,1,99,1968,1941,1927,128,9998,3368,3389,3407,1,1,normal,9998.0,9998
42,1653058944.672844,1,99,1968,1941,1927,128,9998,3368,3389,3407,1,1,normal,9998.0,9998
43,1653058944.7754471,1,99,1968,1941,1927,128,9998,3368,3389,3407,1,1,normal,9998.0,9998
44,1653058944.8780415,1,99,1968,1941,1927,128,9998,3368,3389,3408,1,1,normal,9998.0,9998
45,1653058944.97921,1,99,1968,1941,1927,128,9998,3368,3389,3408,1,1,normal,9998.0,9998
46,1653058945.0796297,1,99,1968,1943,1927,128,9998,3368,3389,3408,1,1,normal,9998.0,9998
47,1653058945.1809103,1,99,1968,1943,1927,128,9998,3368,3389,3408,1,1,normal,9998.0,9998
48,1653058945.281629,1,99,1968,1943,1927,128,9998,3369,3389,3408,1,1,normal,9998.0,9998
49,1653058945.3840065,1,99,1968,1943,1927,128,9998,3369,3389,3408,1,1,normal,9998.0,9998
50,1653058945.4848857,1,99,1968,1943,1927,128,9998,3369,3389,3408,1,1,normal,9998.0,9998
51,1653058945.5856402,1,99,1964,1940,1927,128,9998,3369,3389,3408,1,1,normal,9998.0,9998
52,1653058945.686214,1,99,1964,1940,1927,128,9998,3369,3389,3408,1,1,normal,9998.0,9998
53,1653058945.7881691,1,99,1964,1940,1929,128,9998,3369,3389,3408,1,1,normal,9998.0,9998
